libraryFastQfilePrefix	sampleNum	dnaSampleCode	replicateCode	plantID
R028M015A	169	R028M015	A	ID-0000015
R028M015B	170	R028M015	B	ID-0000015
R028M016A	171	R028M016	A	ID-0000016
R028M016B	172	R028M016	B	ID-0000016
R028M018A	173	R028M018	A	ID-0000018
R028M018B	174	R028M018	B	ID-0000018
R030M037A	175	R030M037	A	ID-0000037
R030M037B	176	R030M037	B	ID-0000037
R030M039A	177	R030M039	A	ID-0000039
R030M039B	178	R030M039	B	ID-0000039
R032M55A	179	R032M55	A	ID-0000055
R032M55B	180	R032M55	B	ID-0000055
R032M58A	181	R032M58	A	ID-0000058
R032M58B	182	R032M58	B	ID-0000058
R128M101A	183	R128M101	A	ID-0000101
R128M101B	184	R128M101	B	ID-0000101
R128M102A	185	R128M102	A	ID-0000102
R128M102B	186	R128M102	B	ID-0000102
R128M103A	187	R128M103	A	ID-0000103
R128M103B	188	R128M103	B	ID-0000103
R130M112A	189	R130M112	A	ID-0000112
R130M112B	190	R130M112	B	ID-0000112
R130M113A	191	R130M113	A	ID-0000113
R130M113B	192	R130M113	B	ID-0000113
R130M114A	193	R130M114	A	ID-0000114
R130M114B	194	R130M114	B	ID-0000114
R132M121A	195	R132M121	A	ID-0000121
R132M121B	196	R132M121	B	ID-0000121
R132M122A	197	R132M122	A	ID-0000122
R132M122B	198	R132M122	B	ID-0000122
R132M123A	199	R132M123	A	ID-0000123
R132M123B	200	R132M123	B	ID-0000123
R228M132A	212	R228M132	A	ID-0000132
R228M132B	213	R228M132	B	ID-0000132
R228M133A	214	R228M133	A	ID-0000133
R228M133B	215	R228M133	B	ID-0000133
R228M134A	216	R228M134	A	ID-0000134
R228M134B	217	R228M134	B	ID-0000134
R230M143A	218	R230M143	A	ID-0000143
R230M143B	219	R230M143	B	ID-0000143
R230M144A	220	R230M144	A	ID-0000144
R230M144B	221	R230M144	B	ID-0000144
R230M145A	222	R230M145	A	ID-0000145
R230M145B	223	R230M145	B	ID-0000145
