libraryFastQfilePrefix	sampleNum	dnaSampleCode	plantID	replicateCode
R0X1A	1	R0X1	R0_X_1	A
R0X1B	2	R0X1	R0_X_1	B
R0X2A	3	R0X2	R0_X_2	A
R0X2B	4	R0X2	R0_X_2	B
R0X3A	5	R0X3	R0_X_3	A
R0X3B	6	R0X3	R0_X_3	B
R0X4A	7	R0X4	R0_X_4	A
R0X4B	8	R0X4	R0_X_4	B
R0XS11A	9	R0XS11	R0_XS1_1	A
R0XS11B	10	R0XS11	R0_XS1_1	B
R0XS14A	11	R0XS14	R0_XS1_4	A
R0XS14B	12	R0XS14	R0_XS1_4	B
R0XS15A	13	R0XS15	R0_XS1_5	A
R0XS15B	14	R0XS15	R0_XS1_5	B
R0XS16A	15	R0XS16	R0_XS1_6	A
R0XS16B	16	R0XS16	R0_XS1_6	B
R0XS21A	17	R0XS21	R0_XS2_1	A
R0XS21B	18	R0XS21	R0_XS2_1	B
R0XS22A	19	R0XS22	R0_XS2_2	A
R0XS22B	20	R0XS22	R0_XS2_2	B
R0XS23A	21	R0XS23	R0_XS2_3	A
R0XS23B	22	R0XS23	R0_XS2_3	B
R0XS24A	23	R0XS24	R0_XS2_4	A
R0XS24B	24	R0XS24	R0_XS2_4	B
R1X1A	25	R1X1	R1_X_1	A
R1X1B	26	R1X1	R1_X_1	B
R1X2A	27	R1X2	R1_X_2	A
R1X2B	28	R1X2	R1_X_2	B
R1X3A	29	R1X3	R1_X_3	A
R1X3B	30	R1X3	R1_X_3	B
R1X4A	31	R1X4	R1_X_4	A
R1X4B	32	R1X4	R1_X_4	B
R1XS11A	33	R1XS11	R1_XS1_1	A
R1XS11B	34	R1XS11	R1_XS1_1	B
R1XS14A	35	R1XS14	R1_XS1_4	A
R1XS14B	36	R1XS14	R1_XS1_4	B
R1XS15A	37	R1XS15	R1_XS1_5	A
R1XS15B	38	R1XS15	R1_XS1_5	B
R1XS16A	39	R1XS16	R1_XS1_6	A
R1XS16B	40	R1XS16	R1_XS1_6	B
R1XS21A	41	R1XS21	R1_XS2_1	A
R1XS21B	42	R1XS21	R1_XS2_1	B
R1XS22A	43	R1XS22	R1_XS2_2	A
R1XS22B	44	R1XS22	R1_XS2_2	B
R1XS23A	45	R1XS23	R1_XS2_3	A
R1XS23B	46	R1XS23	R1_XS2_3	B
R1XS24A	47	R1XS24	R1_XS2_4	A
R1XS24B	48	R1XS24	R1_XS2_4	B
R2X1A	49	R2X1	R2_X_1	A
R2X1B	50	R2X1	R2_X_1	B
R2X2A	51	R2X2	R2_X_2	A
R2X2B	52	R2X2	R2_X_2	B
R2X3A	53	R2X3	R2_X_3	A
R2X3B	54	R2X3	R2_X_3	B
R2X4A	55	R2X4	R2_X_4	A
R2X4B	56	R2X4	R2_X_4	B
R2XS11A	57	R2XS11	R2_XS1_1	A
R2XS11B	58	R2XS11	R2_XS1_1	B
R2XS14A	59	R2XS14	R2_XS1_4	A
R2XS14B	60	R2XS14	R2_XS1_4	B
R2XS15A	61	R2XS15	R2_XS1_5	A
R2XS15B	62	R2XS15	R2_XS1_5	B
R2XS16A	63	R2XS16	R2_XS1_6	A
R2XS16B	64	R2XS16	R2_XS1_6	B
R2XS21A	65	R2XS21	R2_XS2_1	A
R2XS21B	66	R2XS21	R2_XS2_1	B
R2XS22A	67	R2XS22	R2_XS2_2	A
R2XS22B	68	R2XS22	R2_XS2_2	B
R2XS23A	69	R2XS23	R2_XS2_3	A
R2XS23B	70	R2XS23	R2_XS2_3	B
R2XS24A	71	R2XS24	R2_XS2_4	A
R2XS24B	72	R2XS24	R2_XS2_4	B
R3X1A	73	R3X1	R3_X_1	A
R3X1B	74	R3X1	R3_X_1	B
R3X2A	75	R3X2	R3_X_2	A
R3X2B	76	R3X2	R3_X_2	B
R3X3A	77	R3X3	R3_X_3	A
R3X3B	78	R3X3	R3_X_3	B
R3X4A	79	R3X4	R3_X_4	A
R3X4B	80	R3X4	R3_X_4	B
R3XS11A	81	R3XS11	R3_XS1_1	A
R3XS11B	82	R3XS11	R3_XS1_1	B
R3XS14A	83	R3XS14	R3_XS1_4	A
R3XS14B	84	R3XS14	R3_XS1_4	B
R3XS15A	85	R3XS15	R3_XS1_5	A
R3XS15B	86	R3XS15	R3_XS1_5	B
R3XS16A	87	R3XS16	R3_XS1_6	A
R3XS16B	88	R3XS16	R3_XS1_6	B
R3XS21A	89	R3XS21	R3_XS2_1	A
R3XS21B	90	R3XS21	R3_XS2_1	B
R3XS22A	91	R3XS22	R3_XS2_2	A
R3XS22B	92	R3XS22	R3_XS2_2	B
R3XS23A	93	R3XS23	R3_XS2_3	A
R3XS23B	94	R3XS23	R3_XS2_3	B
R3XS24A	95	R3XS24	R3_XS2_4	A
R3XS24B	96	R3XS24	R3_XS2_4	B
R4X1A	97	R4X1	R4_X_1	A
R4X1B	98	R4X1	R4_X_1	B
R4X2A	99	R4X2	R4_X_2	A
R4X2B	100	R4X2	R4_X_2	B
R4X3A	101	R4X3	R4_X_3	A
R4X3B	102	R4X3	R4_X_3	B
R4X4A	103	R4X4	R4_X_4	A
R4X4B	104	R4X4	R4_X_4	B
R4XS11A	105	R4XS11	R4_XS1_1	A
R4XS11B	106	R4XS11	R4_XS1_1	B
R4XS14A	107	R4XS14	R4_XS1_4	A
R4XS14B	108	R4XS14	R4_XS1_4	B
R4XS15A	109	R4XS15	R4_XS1_5	A
R4XS15B	110	R4XS15	R4_XS1_5	B
R4XS16A	111	R4XS16	R4_XS1_6	A
R4XS16B	112	R4XS16	R4_XS1_6	B
R4XS21A	113	R4XS21	R4_XS2_1	A
R4XS21B	114	R4XS21	R4_XS2_1	B
R4XS22A	115	R4XS22	R4_XS2_2	A
R4XS22B	116	R4XS22	R4_XS2_2	B
R4XS23A	117	R4XS23	R4_XS2_3	A
R4XS23B	118	R4XS23	R4_XS2_3	B
R4XS24A	119	R4XS24	R4_XS2_4	A
R4XS24B	120	R4XS24	R4_XS2_4	B
R5X1A	121	R5X1	R5_X_1	A
R5X1B	122	R5X1	R5_X_1	B
R5X2A	123	R5X2	R5_X_2	A
R5X2B	124	R5X2	R5_X_2	B
R5X3A	125	R5X3	R5_X_3	A
R5X3B	126	R5X3	R5_X_3	B
R5X4A	127	R5X4	R5_X_4	A
R5X4B	128	R5X4	R5_X_4	B
R5XS11A	129	R5XS11	R5_XS1_1	A
R5XS11B	130	R5XS11	R5_XS1_1	B
R5XS14A	131	R5XS14	R5_XS1_4	A
R5XS14B	132	R5XS14	R5_XS1_4	B
R5XS15A	133	R5XS15	R5_XS1_5	A
R5XS15B	134	R5XS15	R5_XS1_5	B
R5XS16A	135	R5XS16	R5_XS1_6	A
R5XS16B	136	R5XS16	R5_XS1_6	B
R5XS21A	137	R5XS21	R5_XS2_1	A
R5XS21B	138	R5XS21	R5_XS2_1	B
R5XS22A	139	R5XS22	R5_XS2_2	A
R5XS22B	140	R5XS22	R5_XS2_2	B
R5XS23A	141	R5XS23	R5_XS2_3	A
R5XS23B	142	R5XS23	R5_XS2_3	B
R5XS24A	143	R5XS24	R5_XS2_4	A
R5XS24B	144	R5XS24	R5_XS2_4	B
R6X1A	145	R6X1	R6_X_1	A
R6X1B	146	R6X1	R6_X_1	B
R6X2A	147	R6X2	R6_X_2	A
R6X2B	148	R6X2	R6_X_2	B
R6X3A	149	R6X3	R6_X_3	A
R6X3B	150	R6X3	R6_X_3	B
R6X4A	151	R6X4	R6_X_4	A
R6X4B	152	R6X4	R6_X_4	B
R6XS11A	153	R6XS11	R6_XS1_1	A
R6XS11B	154	R6XS11	R6_XS1_1	B
R6XS14A	155	R6XS14	R6_XS1_4	A
R6XS14B	156	R6XS14	R6_XS1_4	B
R6XS15A	157	R6XS15	R6_XS1_5	A
R6XS15B	158	R6XS15	R6_XS1_5	B
R6XS16A	159	R6XS16	R6_XS1_6	A
R6XS16B	160	R6XS16	R6_XS1_6	B
R6XS21A	161	R6XS21	R6_XS2_1	A
R6XS21B	162	R6XS21	R6_XS2_1	B
R6XS22A	163	R6XS22	R6_XS2_2	A
R6XS22B	164	R6XS22	R6_XS2_2	B
R6XS23A	165	R6XS23	R6_XS2_3	A
R6XS23B	166	R6XS23	R6_XS2_3	B
R6XS24A	167	R6XS24	R6_XS2_4	A
R6XS24B	168	R6XS24	R6_XS2_4	B
