Unique ID	Summary	Site	Researcher	Experiment name	Organism	Variety	Date Planted	Planting type	Source ID	Location	temperature	Infection type	Date of infection	virusTreatment	Passage #	Cuttings taken from ID	Replicate #	Replicate's Mother Plant ID	Phenotype	Images	Date Cuttings taken	Number of cuttings taken (blue bottom, yellow, middle, green top, no color mother) - divded evenly by nodes	Node number	Mother plant alive 	Progated color of  cutting kept  for transplanting	Date transplated 	Leaf number sampled	Infected 	Date Leaf Sampled	Hours after Dawn Sampled	Date DNA isolated
ID-0000001		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	Mock	1	N/A		N/A	1		2017-06-14	3	17	yes	green 	2017-07-05	2	no	2017-06-14	5	2017-06-15
ID-0000002		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	Mock	1	N/A		N/A	1		2017-06-14	3	13	no	yellow	2017-07-05	2	no	2017-06-14	5	2017-06-15
ID-0000003		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	ACMV	1	N/A		N/A	3		2017-06-14	3	14	yes	blue	2017-07-05	2	no	2017-06-14	5	2017-06-15
ID-0000004		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	ACMV	1	N/A		N/A	3		2017-06-14	3	13	no	dead	2017-07-05	2	yes	2017-06-14	5	2017-06-15
ID-0000005		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	ACMV	1	N/A		N/A	3		2017-06-14	3	12	yes	yellow	2017-07-05	2	yes	2017-06-14	5	2017-06-15
ID-0000006		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	ACMV	1	N/A		N/A	4		2017-06-14	3	14	yes	yellow	2017-07-05	2	yes	2017-06-14	5	2017-06-15
ID-0000007		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	ACMV	1	N/A		N/A	3		2017-06-14	3	12	yes	yellow	2017-07-05	2	yes	2017-06-14	5	2017-06-15
ID-0000008		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	ACMV	1	N/A		N/A	3		2017-06-14	3	15	yes	dead	2017-07-05	2	yes	2017-06-14	5	2017-06-15
ID-0000009		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	EACMCV	1	N/A		N/A	3		2017-06-14	3	12	yes	blue	2017-07-05	2	yes	2017-06-14	5	2017-06-15
ID-0000010		NCSU	Catherine Doyle	temperature	cassava	Kibandameno		tissue culture		chambers	28	bombardment	2017-05-17	EACMCV	1	N/A		N/A	3		2017-06-14	3	14	yes	no trans	2017-07-05	2	yes	2017-06-14	5	2017-06-15
