plantID	round	passage	lineage	segsTreatment	temperature
R0_M_1	Round 0	1	M_1	None	28
R0_M_2	Round 0	1	M_2	None	28
R0_M_3	Round 0	1	M_3	None	28
R0_X_1	Round 0	1	X_1	None	28
R0_X_2	Round 0	1	X_2	None	28
R0_X_3	Round 0	1	X_3	None	28
R0_X_4	Round 0	1	X_4	None	28
R0_X_5	Round 0	1	X_5	None	28
R0_X_6	Round 0	1	X_6	None	28
R0_XS1_1	Round 0	1	XS1_1	SEGS-1	28
R0_XS1_2	Round 0	1	XS1_2	SEGS-1	28
R0_XS1_3	Round 0	1	XS1_3	SEGS-1	28
R0_XS1_4	Round 0	1	XS1_4	SEGS-1	28
R0_XS1_5	Round 0	1	XS1_5	SEGS-1	28
R0_XS1_6	Round 0	1	XS1_6	SEGS-1	28
R0_XS2_1	Round 0	1	XS2_1	SEGS-2	28
R0_XS2_2	Round 0	1	XS2_2	SEGS-2	28
R0_XS2_3	Round 0	1	XS2_3	SEGS-2	28
R0_XS2_4	Round 0	1	XS2_4	SEGS-2	28
R0_XS2_5	Round 0	1	XS2_5	SEGS-2	28
R0_XS2_6	Round 0	1	XS2_6	SEGS-2	28
R1_M_1	Round 1	2	M_1	None	28
R1_M_2	Round 1	2	M_2	None	28
R1_M_3	Round 1	2	M_3	None	28
R1_X_1	Round 1	2	X_1	None	28
R1_X_2	Round 1	2	X_2	None	28
R1_X_3	Round 1	2	X_3	None	28
R1_X_4	Round 1	2	X_4	None	28
R1_X_5	Round 1	2	X_5	None	28
R1_X_6	Round 1	2	X_6	None	28
R1_XS1_1	Round 1	2	XS1_1	SEGS-1	28
R1_XS1_2	Round 1	2	XS1_2	SEGS-1	28
R1_XS1_3	Round 1	2	XS1_3	SEGS-1	28
R1_XS1_4	Round 1	2	XS1_4	SEGS-1	28
R1_XS1_5	Round 1	2	XS1_5	SEGS-1	28
R1_XS1_6	Round 1	2	XS1_6	SEGS-1	28
R1_XS2_1	Round 1	2	XS2_1	SEGS-2	28
R1_XS2_2	Round 1	2	XS2_2	SEGS-2	28
R1_XS2_3	Round 1	2	XS2_3	SEGS-2	28
R1_XS2_4	Round 1	2	XS2_4	SEGS-2	28
R1_XS2_5	Round 1	2	XS2_5	SEGS-2	28
R1_XS2_6	Round 1	2	XS2_6	SEGS-2	28
R2_M_1	Round 2	3	M_1	None	28
R2_M_2	Round 2	3	M_2	None	28
R2_M_3	Round 2	3	M_3	None	28
R2_X_1	Round 2	3	X_1	None	28
R2_X_2	Round 2	3	X_2	None	28
R2_X_3	Round 2	3	X_3	None	28
R2_X_4	Round 2	3	X_4	None	28
R2_X_5	Round 2	3	X_5	None	28
R2_X_6	Round 2	3	X_6	None	28
R2_XS1_1	Round 2	3	XS1_1	SEGS-1	28
R2_XS1_2	Round 2	3	XS1_2	SEGS-1	28
R2_XS1_3	Round 2	3	XS1_3	SEGS-1	28
R2_XS1_4	Round 2	3	XS1_4	SEGS-1	28
R2_XS1_5	Round 2	3	XS1_5	SEGS-1	28
R2_XS1_6	Round 2	3	XS1_6	SEGS-1	28
R2_XS2_1	Round 2	3	XS2_1	SEGS-2	28
R2_XS2_2	Round 2	3	XS2_2	SEGS-2	28
R2_XS2_3	Round 2	3	XS2_3	SEGS-2	28
R2_XS2_4	Round 2	3	XS2_4	SEGS-2	28
R2_XS2_5	Round 2	3	XS2_5	SEGS-2	28
R2_XS2_6	Round 2	3	XS2_6	SEGS-2	28
R3_M_1	Round 3	4	M_1	None	28
R3_M_2	Round 3	4	M_2	None	28
R3_M_3	Round 3	4	M_3	None	28
R3_X_1	Round 3	4	X_1	None	28
R3_X_2	Round 3	4	X_2	None	28
R3_X_3	Round 3	4	X_3	None	28
R3_X_4	Round 3	4	X_4	None	28
R3_X_5	Round 3	4	X_5	None	28
R3_X_6	Round 3	4	X_6	None	28
R3_XS1_1	Round 3	4	XS1_1	SEGS-1	28
R3_XS1_2	Round 3	4	XS1_2	SEGS-1	28
R3_XS1_3	Round 3	4	XS1_3	SEGS-1	28
R3_XS1_4	Round 3	4	XS1_4	SEGS-1	28
R3_XS1_5	Round 3	4	XS1_5	SEGS-1	28
R3_XS1_6	Round 3	4	XS1_6	SEGS-1	28
R3_XS2_1	Round 3	4	XS2_1	SEGS-2	28
R3_XS2_2	Round 3	4	XS2_2	SEGS-2	28
R3_XS2_3	Round 3	4	XS2_3	SEGS-2	28
R3_XS2_4	Round 3	4	XS2_4	SEGS-2	28
R3_XS2_5	Round 3	4	XS2_5	SEGS-2	28
R3_XS2_6	Round 3	4	XS2_6	SEGS-2	28
R4_M_1	Round 4	5	M_1	None	28
R4_M_2	Round 4	5	M_2	None	28
R4_M_3	Round 4	5	M_3	None	28
R4_X_1	Round 4	5	X_1	None	28
R4_X_2	Round 4	5	X_2	None	28
R4_X_3	Round 4	5	X_3	None	28
R4_X_4	Round 4	5	X_4	None	28
R4_X_5	Round 4	5	X_5	None	28
R4_X_6	Round 4	5	X_6	None	28
R4_XS1_1	Round 4	5	XS1_1	SEGS-1	28
R4_XS1_2	Round 4	5	XS1_2	SEGS-1	28
R4_XS1_3	Round 4	5	XS1_3	SEGS-1	28
R4_XS1_4	Round 4	5	XS1_4	SEGS-1	28
R4_XS1_5	Round 4	5	XS1_5	SEGS-1	28
R4_XS1_6	Round 4	5	XS1_6	SEGS-1	28
R4_XS2_1	Round 4	5	XS2_1	SEGS-2	28
R4_XS2_2	Round 4	5	XS2_2	SEGS-2	28
R4_XS2_3	Round 4	5	XS2_3	SEGS-2	28
R4_XS2_4	Round 4	5	XS2_4	SEGS-2	28
R4_XS2_5	Round 4	5	XS2_5	SEGS-2	28
R4_XS2_6	Round 4	5	XS2_6	SEGS-2	28
R5_M_1	Round 5	6	M_1	None	28
R5_M_2	Round 5	6	M_2	None	28
R5_M_3	Round 5	6	M_3	None	28
R5_X_1	Round 5	6	X_1	None	28
R5_X_2	Round 5	6	X_2	None	28
R5_X_3	Round 5	6	X_3	None	28
R5_X_4	Round 5	6	X_4	None	28
R5_X_5	Round 5	6	X_5	None	28
R5_X_6	Round 5	6	X_6	None	28
R5_XS1_1	Round 5	6	XS1_1	SEGS-1	28
R5_XS1_2	Round 5	6	XS1_2	SEGS-1	28
R5_XS1_3	Round 5	6	XS1_3	SEGS-1	28
R5_XS1_4	Round 5	6	XS1_4	SEGS-1	28
R5_XS1_5	Round 5	6	XS1_5	SEGS-1	28
R5_XS1_6	Round 5	6	XS1_6	SEGS-1	28
R5_XS2_1	Round 5	6	XS2_1	SEGS-2	28
R5_XS2_2	Round 5	6	XS2_2	SEGS-2	28
R5_XS2_3	Round 5	6	XS2_3	SEGS-2	28
R5_XS2_4	Round 5	6	XS2_4	SEGS-2	28
R5_XS2_5	Round 5	6	XS2_5	SEGS-2	28
R5_XS2_6	Round 5	6	XS2_6	SEGS-2	28
R6_M_1	Round 6	7	M_1	None	28
R6_M_2	Round 6	7	M_2	None	28
R6_M_3	Round 6	7	M_3	None	28
R6_X_1	Round 6	7	X_1	None	28
R6_X_2	Round 6	7	X_2	None	28
R6_X_3	Round 6	7	X_3	None	28
R6_X_4	Round 6	7	X_4	None	28
R6_X_5	Round 6	7	X_5	None	28
R6_X_6	Round 6	7	X_6	None	28
R6_XS1_1	Round 6	7	XS1_1	SEGS-1	28
R6_XS1_2	Round 6	7	XS1_2	SEGS-1	28
R6_XS1_3	Round 6	7	XS1_3	SEGS-1	28
R6_XS1_4	Round 6	7	XS1_4	SEGS-1	28
R6_XS1_5	Round 6	7	XS1_5	SEGS-1	28
R6_XS1_6	Round 6	7	XS1_6	SEGS-1	28
R6_XS2_1	Round 6	7	XS2_1	SEGS-2	28
R6_XS2_2	Round 6	7	XS2_2	SEGS-2	28
R6_XS2_3	Round 6	7	XS2_3	SEGS-2	28
R6_XS2_4	Round 6	7	XS2_4	SEGS-2	28
R6_XS2_5	Round 6	7	XS2_5	SEGS-2	28
R6_XS2_6	Round 6	7	XS2_6	SEGS-2	28
R7_M_1	Round 7	8	M_1	None	28
R7_M_2	Round 7	8	M_2	None	28
R7_M_3	Round 7	8	M_3	None	28
R7_X_1	Round 7	8	X_1	None	28
R7_X_2	Round 7	8	X_2	None	28
R7_X_3	Round 7	8	X_3	None	28
R7_X_4	Round 7	8	X_4	None	28
R7_X_5	Round 7	8	X_5	None	28
R7_X_6	Round 7	8	X_6	None	28
R7_XS1_1	Round 7	8	XS1_1	SEGS-1	28
R7_XS1_2	Round 7	8	XS1_2	SEGS-1	28
R7_XS1_3	Round 7	8	XS1_3	SEGS-1	28
R7_XS1_4	Round 7	8	XS1_4	SEGS-1	28
R7_XS1_5	Round 7	8	XS1_5	SEGS-1	28
R7_XS1_6	Round 7	8	XS1_6	SEGS-1	28
R7_XS2_1	Round 7	8	XS2_1	SEGS-2	28
R7_XS2_2	Round 7	8	XS2_2	SEGS-2	28
R7_XS2_3	Round 7	8	XS2_3	SEGS-2	28
R7_XS2_4	Round 7	8	XS2_4	SEGS-2	28
R7_XS2_5	Round 7	8	XS2_5	SEGS-2	28
R7_XS2_6	Round 7	8	XS2_6	SEGS-2	28
