plantID	Treatment 	Passage	Symptom	MotherPlant	copyNumberA	copyNumberE	totalDNA
ID-0000001	Mock	1	1	ID-0000001			
ID-0000003	ACMV	1	3	ID-0000003	47898105		21.6
ID-0000005	ACMV	1	3	ID-0000005	58423		52
ID-0000006	ACMV	1	4	ID-0000006	15649		43.3
ID-0000007	ACMV	1	3	ID-0000007	3934		41.2
ID-0000009	EACMCV	1	3	ID-0000009		619650	51
ID-0000010	EACMCV	1	3	ID-0000010		574582	54
ID-0000014	EACMCV	1	3	ID-0000014		17361370	32.7
ID-0000015	Mixed	1	5	ID-0000015	104020	979830	68.1
ID-0000016	Mixed	1	5	ID-0000016	496767	1783495	69
ID-0000018	Mixed	1	5	ID-0000018	663221	1087968	48.4
ID-0000023	ACMV	1	2	ID-0000023	6083		57.1
ID-0000025	ACMV	1	3	ID-0000025	37214		94.5
ID-0000026	ACMV	1	3	ID-0000026	6642		47.1
ID-0000027	ACMV	1	4	ID-0000027	3003		53
ID-0000030	EACMCV	1	4	ID-0000030		10145996	62.1
ID-0000031	EACMCV	1	4	ID-0000031		28171	90.6
ID-0000032	EACMCV	1	3	ID-0000032		27455	99.5
ID-0000032	EACMCV	1	3	ID-0000032			99.5
ID-0000037	Mixed	1	5	ID-0000037	5399	39364796	108
ID-0000038	Mixed	1	5	ID-0000038	5115686	3961430	109
ID-0000039	Mixed	1	5	ID-0000039	424579	968960	135
ID-0000043	ACMV	1	3	ID-0000043	2906041		151
ID-0000043	ACMV	1	3	ID-0000043	17652721		151
ID-0000048	ACMV	1	4	ID-0000048	90508		109
ID-0000049	EACMCV	1	3	ID-0000049		44313495	108
ID-0000052	EACMCV	1	4	ID-0000052		27978	65.8
ID-0000053	EACMCV	1	3	ID-0000053		2509535	76.6
ID-0000055	Mixed	1	4	ID-0000055	1694	15032	105
ID-0000058	Mixed	1	4	ID-0000058	2886	21815	48.9
ID-0000058	Mixed	1	4	ID-0000058	159527	2279579	48.9
ID-0000093	Mock	2	1	ID-0000001			
ID-0000094	ACMV	2	1	ID-0000003	64126		18.6
ID-0000095	ACMV	2	2	ID-0000005	54802958		21.6
ID-0000096	ACMV	2	1	ID-0000006	83368950		52
ID-0000097	ACMV	2	1	ID-0000007		38880425	43.3
ID-0000098	EACMCV	2	2	ID-0000009		27655382	41.2
ID-0000099	EACMCV	2	3	ID-0000010		223579167	51
ID-0000100	EACMCV	2	2	ID-0000014		1316580	54
ID-0000101	Mixed	2	2	ID-0000015	8745796	3153947	32.7
ID-0000102	Mixed	2	4	ID-0000016	22795004	1666583	68.1
ID-0000103	Mixed	2	4	ID-0000018	21073564	473713	69
ID-0000104	ACMV	2	2	ID-0000023	82629		48.4
ID-0000105	ACMV	2	1	ID-0000025	4542490		57.1
ID-0000106	ACMV	2	1	ID-0000026	31206591		94.5
ID-0000107	ACMV	2	1	ID-0000027	468052		47.1
ID-0000108	EACMCV	2	3	ID-0000030		162846339	53
ID-0000109	EACMCV	2	2	ID-0000031		203307	62.1
ID-0000110	EACMCV	2	2	ID-0000032		15204040	90.6
ID-0000111	EACMCV	2	3	ID-0000032		12348778	99.5
ID-0000112	Mixed	2	4	ID-0000037	110356013	7218944	133
ID-0000113	Mixed	2	4	ID-0000038	40211104	2592277	108
ID-0000114	Mixed	2	4	ID-0000039	7500		
ID-0000115	ACMV	2	3	ID-0000043	121805435		109
ID-0000116	ACMV	2	2	ID-0000043	407247100		135
ID-0000117	ACMV	2	2	ID-0000048	5590		151
ID-0000118	EACMCV	2	4	ID-0000049		11916206	109
ID-0000119	EACMCV	2	2	ID-0000052		54344217	108
ID-0000120	EACMCV	2	1	ID-0000053		6409936	65.8
ID-0000121	Mixed	2	2	ID-0000055	7130747	3594482	76.6
ID-0000122	Mixed	2	2	ID-0000058	125700	55544	105
ID-0000123	Mixed	2	2	ID-0000058	2	4505	48.9
ID-0000124	Mock	3	1	ID-0000001			
ID-0000125	ACMV	3	2	ID-0000003	4		13.2
ID-0000126	ACMV	3	2	ID-0000005	1477		11.6
ID-0000127	ACMV	3	1	ID-0000006	35		39.3
ID-0000128	ACMV	3	1	ID-0000007	7		18.2
ID-0000129	EACMCV	3	1	ID-0000009		66349	50.6
ID-0000130	EACMCV	3	2	ID-0000010		89615	28.6
ID-0000131	EACMCV	3	3	ID-0000014		2389282	27.9
ID-0000132	Mixed	3	3	ID-0000015	8486	87367	86.3
ID-0000133	Mixed	3	3	ID-0000016	246138	1428464	27.6
ID-0000134	Mixed	3	3	ID-0000018	1320	564004	16.6
ID-0000136	ACMV	3	1	ID-0000025	7		24.5
ID-0000137	ACMV	3	1	ID-0000026	5		56.8
ID-0000138	ACMV	3	1	ID-0000027	26		38.6
ID-0000139	EACMCV	3	1	ID-0000030		39743	37.9
ID-0000140	EACMCV	3	1	ID-0000031		6411	25.1
ID-0000141	EACMCV	3	1	ID-0000032		266023	54.3
ID-0000142	EACMCV	3	1	ID-0000032		16619	17.3
ID-0000143	Mixed	3	4	ID-0000037	17323	249654	27.8
ID-0000144	Mixed	3	4	ID-0000038	10269	129523	21.6
ID-0000145	Mixed	3	4	ID-0000039	7500	86448	59.7
ID-0000146	ACMV	3	2	ID-0000043	113862		26
ID-0000147	ACMV	3	3	ID-0000043	797		36.5
ID-0000148	ACMV	3	3	ID-0000048	5590		24.7
ID-0000149	EACMCV	3	3	ID-0000049		39752	37.5
ID-0000150	EACMCV	3	4	ID-0000052		46199	37.9
ID-0000151	EACMCV	3	2	ID-0000053		121	27.3
ID-0000152	Mixed	3	4	ID-0000055	63	144594	39.1
ID-0000153	Mixed	3	4	ID-0000058	3458	215	34.4
ID-0000154	Mixed	3	1	ID-0000058	2	135985	65
